country,facility_code,uid,created_date
TZA,101174-1,TZA-000357,2026-05-15
TZA,107341-0,TZA-000358,2026-05-15
TZA,107218-0,TZA-000359,2026-05-15
TZA,100387-0,TZA-000360,2026-05-15
TZA,107047-3,TZA-000361,2026-05-15
TZA,104211-8,TZA-000362,2026-05-15
TZA,121404-8,TZA-000363,2026-05-15
TZA,120433-8,TZA-000364,2026-05-15
TZA,112259-7,TZA-000365,2026-05-15
TZA,103046-9,TZA-000366,2026-05-15
TZA,107772-6,TZA-000367,2026-05-15
TZA,122218-1,TZA-000368,2026-05-15
TZA,113895-7,TZA-000369,2026-05-15
TZA,100942-2,TZA-000370,2026-05-15
TZA,100336-7,TZA-000371,2026-05-15
TZA,121579-7,TZA-000372,2026-05-15
TZA,107021-8,TZA-000373,2026-05-15
TZA,112032-8,TZA-000374,2026-05-15
TZA,121470-9,TZA-000375,2026-05-15
TZA,120562-4,TZA-000376,2026-05-15
TZA,111591-4,TZA-000377,2026-05-15
TZA,104168-0,TZA-000378,2026-05-15
TZA,103920-5,TZA-000379,2026-05-15
TZA,113673-8,TZA-000380,2026-05-15
TZA,122219-9,TZA-000381,2026-05-15
TZA,107067-1,TZA-000382,2026-05-15
TZA,101303-6,TZA-000383,2026-05-15
TZA,112038-5,TZA-000384,2026-05-15
TZA,108515-8,TZA-000385,2026-05-15
TZA,114047-4,TZA-000386,2026-05-15
TZA,122216-5,TZA-000387,2026-05-15
TZA,112037-7,TZA-000388,2026-05-15
TZA,115016-8,TZA-000389,2026-05-15
TZA,121596-1,TZA-000390,2026-05-15
TZA,123900-3,TZA-000391,2026-05-15
TZA,100211-2,TZA-000392,2026-05-15
TZA,112910-5,TZA-000393,2026-05-15
TZA,104279-5,TZA-000394,2026-05-15
TZA,112033-6,TZA-000395,2026-05-15
TZA,111813-2,TZA-000396,2026-05-15
TZA,111178-0,TZA-000397,2026-05-15
TZA,122002-9,TZA-000398,2026-05-15
TZA,102987-5,TZA-000399,2026-05-15
TZA,120625-9,TZA-000400,2026-05-15
TZA,111179-8,TZA-000401,2026-05-15
TZA,123516-7,TZA-000402,2026-05-15
TZA,108330-2,TZA-000403,2026-05-15
TZA,123197-6,TZA-000404,2026-05-15
TZA,112035-1,TZA-000405,2026-05-15
TZA,112393-4,TZA-000406,2026-05-15
TZA,115013-5,TZA-000407,2026-05-15
TZA,121059-0,TZA-000408,2026-05-15
TZA,121597-9,TZA-000409,2026-05-15
TZA,121595-3,TZA-000410,2026-05-15
TZA,100411-8,TZA-000411,2026-05-15
TZA,122230-6,TZA-000412,2026-05-15
TZA,100109-8,TZA-000413,2026-05-15
